Trade Date,Trade Time,Order Time,Security Name,ISIN,Exchange,Order Source,Transaction Type,Quantity,Market Rate,Total,GST,Brokerage,Misc.,Total Charges,STT/CTT
17/04/2025,15:20:13,15:20:13,Kaynes Technology India Ltd,INE918Z01012   ,NSE,Kotak Securities,Sell,25,5649.6,141240,10.8,49,12.8,72.6,17.77
16/04/2025,09:19:50,09:19:50,Pokarna Ltd,INE637C01025   ,NSE,Kotak Securities,Buy,100,947.223,94722.3,0.54,0.01,33.91,34.46,95
15/04/2025,09:15:23,09:15:23,Dixon Technologies (India) Ltd,INE935N01020   ,NSE,Kotak Securities,Buy,8,14662.5,117300,2.5,10,11.34,23.84,14.46
15/04/2025,12:47:42,12:47:42,Dixon Technologies (India) Ltd,INE935N01020   ,NSE,Kotak Securities,Sell,8,14776,118208,2.44,10,11.36,23.8,14.54
11/04/2025,09:15:27,09:15:27,Kaynes Technology India Ltd,INE918Z01012   ,NSE,Kotak Securities,Buy,40,4995.8,199832,2.24,10,18.49,30.73,24.75
11/04/2025,15:20:32,15:20:32,Kaynes Technology India Ltd,INE918Z01012   ,NSE,Kotak Securities,Sell,40,5102.0863,204083.45,10.7,49,18.71,78.41,25.25
09/04/2025,09:15:58,09:15:58,Kaynes Technology India Ltd,INE918Z01012   ,NSE,Kotak Securities,Buy,30,4810.9867,144329.6,2.18,10,13.09,25.27,17.93
09/04/2025,15:20:42,15:20:42,Kaynes Technology India Ltd,INE918Z01012   ,NSE,Kotak Securities,Sell,30,4858.3367,145750.1,10.1,49,13.02,72.12,18.07
08/04/2025,09:15:22,09:15:22,BSE Ltd,INE118H01025   ,NSE,Kotak Securities,Buy,30,5425.3,162759,2.76,10,15.2,27.96,20.4
08/04/2025,14:25:18,14:25:18,BSE Ltd,INE118H01025   ,NSE,Kotak Securities,Sell,30,5487.75,164632.5,2.7,10,15.23,27.93,20.6
07/04/2025,09:15:12,09:15:12,Senores Pharmaceuticals Ltd,INE0RB801010   ,NSE,Kotak Securities,Buy,400,470,188000,2.92,10,17.6,30.52,23.38
07/04/2025,11:11:19,09:45:40,Senores Pharmaceuticals Ltd,INE0RB801010   ,NSE,Kotak Securities,Sell,400,495,198000,2.9,10,18.49,31.39,24.62
